DROPSTATE:main1
LOCAL:c,int,4294967295
LOCAL:argind,int,1
LOCAL:out_dev,dev_t,140728898420737
LOCAL:out_ino,ino_t,140592154980808
LOCAL:check_redirection,bool,0
LOCAL:have_read_stdin,bool,0
LOCAL:stat_buf,struct stat,474627124179832417464229742574376554033176870126057938194202571465816847237454339818256959853114395007640117431831521117693436697181392359384986608498170139840635696556627630259116916266044514521832929229553207416215483598738104898076199812581144008777438217314063337622259892236
LOCAL:number,bool,0
LOCAL:number_nonblank,bool,0
LOCAL:squeeze_blank,bool,0
LOCAL:show_ends,bool,0
LOCAL:show_nonprinting,bool,0
LOCAL:show_tabs,bool,0
LOCAL:file_open_mode,int,0
GLOBAL:input_desc,int,0
GLOBAL:line_buf,char[],204899028249342517084987615413423805827129376
GLOBAL:line_num_print,char *,32
GLOBAL:line_num_start,char *,48
GLOBAL:line_num_end,char *,48
GLOBAL:newlines2,int,0
DROPSTATE:main2loop2
LOCAL:outsize,size_t,65536
LOCAL:insize,size_t,1
LOCAL:page_size,size_t,4096
LOCAL:ok,bool,1
LOCAL:c,int,4294967295
LOCAL:argind,int,1
LOCAL:out_dev,dev_t,140728898420737
LOCAL:out_ino,ino_t,140592154980808
LOCAL:check_redirection,bool,0
LOCAL:have_read_stdin,bool,0
LOCAL:stat_buf,struct stat,474627124179832417464229742574376554033176870126057938194202571465816847237454339818256959853114395007640117431831521117693436697181392359384986608498170139840635696556627630259116916266044514521832929229553207416215483598738104898076199812581144008777438217314063337622259892236
LOCAL:number,bool,0
LOCAL:number_nonblank,bool,0
LOCAL:squeeze_blank,bool,0
LOCAL:show_ends,bool,0
LOCAL:show_nonprinting,bool,0
LOCAL:show_tabs,bool,0
LOCAL:file_open_mode,int,0
GLOBAL:input_desc,int,4
GLOBAL:line_buf,char[],204899028249342517084987615413423805827129376
GLOBAL:line_num_print,char *,32
GLOBAL:line_num_start,char *,48
GLOBAL:line_num_end,char *,48
GLOBAL:newlines2,int,0
DROPSTATE:main2loop3
LOCAL:outsize,size_t,65536
LOCAL:insize,size_t,65536
LOCAL:page_size,size_t,4096
LOCAL:ok,bool,1
LOCAL:c,int,4294967295
LOCAL:argind,int,1
LOCAL:out_dev,dev_t,140728898420737
LOCAL:out_ino,ino_t,140592154980808
LOCAL:check_redirection,bool,0
LOCAL:have_read_stdin,bool,0
LOCAL:stat_buf,struct stat,113306520576517778252230522434824594456526033259623823755133970227234735525505496583679550950613704030314961183615491790687936794189072437424910519714147311222412568573459273362027614210700652763589307680767250128146922262839423319782844174661043631494605868754159955264625707009
LOCAL:number,bool,0
LOCAL:number_nonblank,bool,0
LOCAL:squeeze_blank,bool,0
LOCAL:show_ends,bool,0
